activity,case_id,resource,Activity_1,Resource_1,creator,variant,variant_index,end_time,start_time
Radicar Solicitud Homologacion,117265,10742,Radicar Solicitud Homologacion,10742,Fluxicon Disco,Variant 2,2,2016-05-06T22:46:28.000,2016-05-06T22:39:29.000
Validar solicitud,117265,261,Validar solicitud,261,Fluxicon Disco,Variant 2,2,2016-05-10T23:58:11.000,2016-05-10T21:39:28.000
Homologacion por grupo de cursos,117265,7355,Homologacion por grupo de cursos,7355,Fluxicon Disco,Variant 2,2,2016-06-07T14:26:59.000,2016-06-07T14:23:23.000
Traer informacion estudiante - banner,117351,23530,Traer informacion estudiante - banner,23530,Fluxicon Disco,Variant 2,2,2016-05-08T05:07:32.000,2016-05-08T05:07:32.000
Radicar Solicitud Homologacion,117351,23530,Radicar Solicitud Homologacion,23530,Fluxicon Disco,Variant 2,2,2016-05-08T05:19:38.000,2016-05-08T05:07:38.000
Validar solicitud,117351,22404,Validar solicitud,22404,Fluxicon Disco,Variant 2,2,2016-05-11T19:46:41.000,2016-05-11T19:30:45.000
Homologacion por grupo de cursos,117351,4560,Homologacion por grupo de cursos,4560,Fluxicon Disco,Variant 2,2,2016-05-13T18:56:04.000,2016-05-13T17:56:01.000
Cancelar Solicitud,117553,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 17,17,2016-05-09T16:56:40.000,2016-05-09T16:53:32.000
Traer informacion estudiante - banner,117553,8382,Traer informacion estudiante - banner,8382,Fluxicon Disco,Variant 17,17,2016-05-09T17:28:55.000,2016-05-09T17:28:55.000
Radicar Solicitud Homologacion,117553,8382,Radicar Solicitud Homologacion,8382,Fluxicon Disco,Variant 17,17,2016-05-09T17:28:57.000,2016-05-09T17:28:57.000
Notificacion estudiante cancelacion soli,117553,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 17,17,2016-05-10T17:08:17.000,2016-05-10T17:08:17.000
Traer informacion estudiante - banner,117753,7599,Traer informacion estudiante - banner,7599,Fluxicon Disco,Variant 1,1,2016-05-10T21:02:40.000,2016-05-10T21:02:40.000
Radicar Solicitud Homologacion,117753,7599,Radicar Solicitud Homologacion,7599,Fluxicon Disco,Variant 1,1,2016-05-10T22:05:23.000,2016-05-10T21:02:43.000
Cancelar Solicitud,117753,22475,Cancelar Solicitud,22475,Fluxicon Disco,Variant 1,1,2016-05-20T17:43:09.000,2016-05-20T17:42:58.000
Notificacion estudiante cancelacion soli,117753,22475,Notificacion estudiante cancelacion soli,22475,Fluxicon Disco,Variant 1,1,2016-05-20T17:54:34.000,2016-05-20T17:54:34.000
Radicar Solicitud Homologacion,117806,19019,Radicar Solicitud Homologacion,19019,Fluxicon Disco,Variant 14,14,2016-05-10T19:12:30.000,2016-05-10T19:12:30.000
Traer informacion estudiante - banner,117808,2970,Traer informacion estudiante - banner,2970,Fluxicon Disco,Variant 2,2,2016-05-10T21:06:59.000,2016-05-10T21:06:59.000
Radicar Solicitud Homologacion,117808,2970,Radicar Solicitud Homologacion,2970,Fluxicon Disco,Variant 2,2,2016-05-10T21:07:32.000,2016-05-10T21:07:00.000
Validar solicitud,117808,659,Validar solicitud,659,Fluxicon Disco,Variant 2,2,2016-05-10T21:42:09.000,2016-05-10T21:39:49.000
Homologacion por grupo de cursos,117808,1422,Homologacion por grupo de cursos,1422,Fluxicon Disco,Variant 2,2,2016-05-11T15:17:11.000,2016-05-11T12:44:11.000
Traer informacion estudiante - banner,117851,23842,Traer informacion estudiante - banner,23842,Fluxicon Disco,Variant 1,1,2016-05-11T00:37:26.000,2016-05-11T00:37:26.000
Radicar Solicitud Homologacion,117851,23842,Radicar Solicitud Homologacion,23842,Fluxicon Disco,Variant 1,1,2016-05-11T00:51:35.000,2016-05-11T00:37:34.000
Cancelar Solicitud,117851,7320,Cancelar Solicitud,7320,Fluxicon Disco,Variant 1,1,2016-05-12T22:02:50.000,2016-05-12T22:01:52.000
Notificacion estudiante cancelacion soli,117851,7320,Notificacion estudiante cancelacion soli,7320,Fluxicon Disco,Variant 1,1,2016-05-12T23:00:02.000,2016-05-12T23:00:02.000
Traer informacion estudiante - banner,117903,3815,Traer informacion estudiante - banner,3815,Fluxicon Disco,Variant 2,2,2016-05-11T19:40:39.000,2016-05-11T19:40:39.000
Radicar Solicitud Homologacion,117903,3815,Radicar Solicitud Homologacion,3815,Fluxicon Disco,Variant 2,2,2016-05-11T19:40:43.000,2016-05-11T19:40:43.000
Validar solicitud,117903,677,Validar solicitud,677,Fluxicon Disco,Variant 2,2,2016-05-11T20:02:12.000,2016-05-11T19:44:53.000
Homologacion por grupo de cursos,117903,677,Homologacion por grupo de cursos,677,Fluxicon Disco,Variant 2,2,2016-05-13T21:19:41.000,2016-05-13T21:19:41.000
Traer informacion estudiante - banner,117951,7717,Traer informacion estudiante - banner,7717,Fluxicon Disco,Variant 1,1,2016-05-11T13:29:28.000,2016-05-11T13:29:28.000
Radicar Solicitud Homologacion,117951,7717,Radicar Solicitud Homologacion,7717,Fluxicon Disco,Variant 1,1,2016-05-11T13:57:31.000,2016-05-11T13:29:31.000
Cancelar Solicitud,117951,22475,Cancelar Solicitud,22475,Fluxicon Disco,Variant 1,1,2016-05-16T19:18:44.000,2016-05-16T19:17:02.000
Notificacion estudiante cancelacion soli,117951,22475,Notificacion estudiante cancelacion soli,22475,Fluxicon Disco,Variant 1,1,2016-05-16T21:42:13.000,2016-05-16T21:42:13.000
Cancelar Solicitud,118151,677,Cancelar Solicitud,677,Fluxicon Disco,Variant 17,17,2016-05-12T15:44:48.000,2016-05-12T15:33:00.000
Traer informacion estudiante - banner,118151,3108,Traer informacion estudiante - banner,3108,Fluxicon Disco,Variant 17,17,2016-05-12T16:41:30.000,2016-05-12T16:41:30.000
Radicar Solicitud Homologacion,118151,3108,Radicar Solicitud Homologacion,3108,Fluxicon Disco,Variant 17,17,2016-05-12T16:41:34.000,2016-05-12T16:41:34.000
Notificacion estudiante cancelacion soli,118151,677,Notificacion estudiante cancelacion soli,677,Fluxicon Disco,Variant 17,17,2016-05-13T21:21:46.000,2016-05-13T21:21:46.000
Traer informacion estudiante - banner,118153,6851,Traer informacion estudiante - banner,6851,Fluxicon Disco,Variant 93,93,2016-05-12T18:43:06.000,2016-05-12T18:43:06.000
Radicar Solicitud Homologacion,118153,6851,Radicar Solicitud Homologacion,6851,Fluxicon Disco,Variant 93,93,2016-05-12T18:43:09.000,2016-05-12T18:43:09.000
Validar solicitud,118153,186,Validar solicitud,186,Fluxicon Disco,Variant 93,93,2016-05-12T18:59:03.000,2016-05-12T18:57:48.000
Recepcion de documentos,118153,186,Recepcion de documentos,186,Fluxicon Disco,Variant 93,93,2016-05-13T00:58:09.000,2016-05-12T21:15:25.000
Homologacion por grupo de cursos,118153,26788,Homologacion por grupo de cursos,26788,Fluxicon Disco,Variant 93,93,2016-05-13T01:12:37.000,2016-05-12T21:15:27.000
Traer informacion estudiante - banner,118201,7091,Traer informacion estudiante - banner,7091,Fluxicon Disco,Variant 2,2,2016-05-12T21:18:58.000,2016-05-12T21:18:58.000
Radicar Solicitud Homologacion,84805,8177,Radicar Solicitud Homologacion,8177,Fluxicon Disco,Variant 1,1,2016-02-10T17:06:46.000,2016-02-10T17:06:46.000
Cancelar Solicitud,84805,22404,Cancelar Solicitud,22404,Fluxicon Disco,Variant 1,1,2016-02-10T20:38:45.000,2016-02-10T17:12:16.000
Notificacion estudiante cancelacion soli,84805,22404,Notificacion estudiante cancelacion soli,22404,Fluxicon Disco,Variant 1,1,2016-03-17T15:29:03.000,2016-03-17T15:29:03.000
Traer informacion estudiante - banner,84807,8177,Traer informacion estudiante - banner,8177,Fluxicon Disco,Variant 1,1,2016-02-10T17:12:59.000,2016-02-10T17:12:59.000
Radicar Solicitud Homologacion,84807,8177,Radicar Solicitud Homologacion,8177,Fluxicon Disco,Variant 1,1,2016-02-10T17:13:00.000,2016-02-10T17:13:00.000
Cancelar Solicitud,84807,22404,Cancelar Solicitud,22404,Fluxicon Disco,Variant 1,1,2016-02-10T20:46:05.000,2016-02-10T17:19:35.000
Notificacion estudiante cancelacion soli,84807,22404,Notificacion estudiante cancelacion soli,22404,Fluxicon Disco,Variant 1,1,2016-03-17T15:30:16.000,2016-03-17T15:30:16.000
Traer informacion estudiante - banner,84855,11041,Traer informacion estudiante - banner,11041,Fluxicon Disco,Variant 1,1,2016-02-10T13:22:17.000,2016-02-10T13:22:17.000
Radicar Solicitud Homologacion,84855,11041,Radicar Solicitud Homologacion,11041,Fluxicon Disco,Variant 1,1,2016-02-10T13:22:25.000,2016-02-10T13:22:21.000
Cancelar Solicitud,84855,11041,Cancelar Solicitud,11041,Fluxicon Disco,Variant 1,1,2016-02-10T13:27:10.000,2016-02-10T13:27:08.000
Notificacion estudiante cancelacion soli,84855,11041,Notificacion estudiante cancelacion soli,11041,Fluxicon Disco,Variant 1,1,2016-02-10T13:29:27.000,2016-02-10T13:29:27.000
Traer informacion estudiante - banner,84857,5183,Traer informacion estudiante - banner,5183,Fluxicon Disco,Variant 45,45,2016-02-10T13:44:07.000,2016-02-10T13:44:07.000
Radicar Solicitud Homologacion,84857,5183,Radicar Solicitud Homologacion,5183,Fluxicon Disco,Variant 45,45,2016-02-10T13:44:33.000,2016-02-10T13:44:08.000
Validar solicitud,84857,22475,Validar solicitud,22475,Fluxicon Disco,Variant 45,45,2016-02-10T14:10:54.000,2016-02-10T14:09:23.000
Cancelar Solicitud,84857,22491,Cancelar Solicitud,22491,Fluxicon Disco,Variant 45,45,2016-02-11T02:04:13.000,2016-02-10T14:09:23.000
Recepcion de documentos,84857,26789,Recepcion de documentos,26789,Fluxicon Disco,Variant 45,45,2016-02-11T01:55:45.000,2016-02-10T15:41:22.000
Notificacion estudiante cancelacion soli,84857,22491,Notificacion estudiante cancelacion soli,22491,Fluxicon Disco,Variant 45,45,2016-06-24T18:06:42.000,2016-06-24T18:06:42.000
Traer informacion estudiante - banner,84901,11204,Traer informacion estudiante - banner,11204,Fluxicon Disco,Variant 1,1,2016-02-10T15:28:01.000,2016-02-10T15:28:01.000
Radicar Solicitud Homologacion,84901,11204,Radicar Solicitud Homologacion,11204,Fluxicon Disco,Variant 1,1,2016-02-10T15:28:10.000,2016-02-10T15:28:06.000
Cancelar Solicitud,84901,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-02-10T15:33:58.000,2016-02-10T15:32:28.000
Notificacion estudiante cancelacion soli,84901,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-02-10T19:03:03.000,2016-02-10T19:03:03.000
Traer informacion estudiante - banner,84902,11204,Traer informacion estudiante - banner,11204,Fluxicon Disco,Variant 1,1,2016-02-10T15:32:52.000,2016-02-10T15:32:52.000
Radicar Solicitud Homologacion,84902,11204,Radicar Solicitud Homologacion,11204,Fluxicon Disco,Variant 1,1,2016-02-10T15:32:56.000,2016-02-10T15:32:53.000
Cancelar Solicitud,84902,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-02-10T15:37:40.000,2016-02-10T15:36:12.000
Notificacion estudiante cancelacion soli,84902,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-02-10T19:04:23.000,2016-02-10T19:04:23.000
Traer informacion estudiante - banner,84903,11204,Traer informacion estudiante - banner,11204,Fluxicon Disco,Variant 1,1,2016-02-10T15:36:34.000,2016-02-10T15:36:34.000
Radicar Solicitud Homologacion,84903,11204,Radicar Solicitud Homologacion,11204,Fluxicon Disco,Variant 1,1,2016-02-10T15:36:38.000,2016-02-10T15:36:35.000
Cancelar Solicitud,84903,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-02-10T15:41:31.000,2016-02-10T15:40:07.000
Notificacion estudiante cancelacion soli,84903,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-02-10T19:04:49.000,2016-02-10T19:04:49.000
Traer informacion estudiante - banner,84904,11204,Traer informacion estudiante - banner,11204,Fluxicon Disco,Variant 1,1,2016-02-10T15:40:19.000,2016-02-10T15:40:19.000
Radicar Solicitud Homologacion,84904,11204,Radicar Solicitud Homologacion,11204,Fluxicon Disco,Variant 1,1,2016-02-10T15:40:22.000,2016-02-10T15:40:20.000
Cancelar Solicitud,84904,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-02-10T15:44:07.000,2016-02-10T15:42:45.000
Notificacion estudiante cancelacion soli,84904,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-02-10T19:05:02.000,2016-02-10T19:05:02.000
Traer informacion estudiante - banner,85051,11614,Traer informacion estudiante - banner,11614,Fluxicon Disco,Variant 1,1,2016-02-10T20:17:11.000,2016-02-10T20:17:11.000
Radicar Solicitud Homologacion,85051,11614,Radicar Solicitud Homologacion,11614,Fluxicon Disco,Variant 1,1,2016-02-10T20:23:56.000,2016-02-10T20:17:18.000
Cancelar Solicitud,85051,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-02-11T16:59:30.000,2016-02-11T16:55:26.000
Notificacion estudiante cancelacion soli,85051,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-02-12T11:02:36.000,2016-02-12T11:02:36.000
Traer informacion estudiante - banner,85101,5064,Traer informacion estudiante - banner,5064,Fluxicon Disco,Variant 2,2,2016-02-10T21:35:33.000,2016-02-10T21:35:33.000
Radicar Solicitud Homologacion,85101,5064,Radicar Solicitud Homologacion,5064,Fluxicon Disco,Variant 2,2,2016-02-10T22:00:54.000,2016-02-10T21:35:37.000
Validar solicitud,85101,49,Validar solicitud,49,Fluxicon Disco,Variant 2,2,2016-02-15T23:09:42.000,2016-02-15T22:53:08.000
Homologacion por grupo de cursos,85101,2541,Homologacion por grupo de cursos,2541,Fluxicon Disco,Variant 2,2,2016-02-18T13:31:30.000,2016-02-18T13:28:07.000
Traer informacion estudiante - banner,85305,9449,Traer informacion estudiante - banner,9449,Fluxicon Disco,Variant 1,1,2016-02-11T12:52:05.000,2016-02-11T12:52:05.000
Radicar Solicitud Homologacion,85305,9449,Radicar Solicitud Homologacion,9449,Fluxicon Disco,Variant 1,1,2016-02-11T12:52:13.000,2016-02-11T12:52:06.000
Cancelar Solicitud,85305,18929,Cancelar Solicitud,18929,Fluxicon Disco,Variant 1,1,2016-02-11T14:11:26.000,2016-02-11T13:07:34.000
Notificacion estudiante cancelacion soli,85305,18929,Notificacion estudiante cancelacion soli,18929,Fluxicon Disco,Variant 1,1,2016-02-23T11:08:19.000,2016-02-23T11:08:19.000
Traer informacion estudiante - banner,85401,4130,Traer informacion estudiante - banner,4130,Fluxicon Disco,Variant 1,1,2016-02-11T15:00:44.000,2016-02-11T15:00:44.000
Radicar Solicitud Homologacion,85401,4130,Radicar Solicitud Homologacion,4130,Fluxicon Disco,Variant 1,1,2016-02-11T15:02:28.000,2016-02-11T15:00:51.000
Cancelar Solicitud,85401,1707,Cancelar Solicitud,1707,Fluxicon Disco,Variant 1,1,2016-02-11T16:38:10.000,2016-02-11T16:37:58.000
Notificacion estudiante cancelacion soli,85401,1707,Notificacion estudiante cancelacion soli,1707,Fluxicon Disco,Variant 1,1,2016-02-11T16:50:23.000,2016-02-11T16:50:23.000
Traer informacion estudiante - banner,85452,9433,Traer informacion estudiante - banner,9433,Fluxicon Disco,Variant 2,2,2016-02-11T18:47:49.000,2016-02-11T18:47:49.000
Radicar Solicitud Homologacion,85452,9433,Radicar Solicitud Homologacion,9433,Fluxicon Disco,Variant 2,2,2016-02-11T18:47:51.000,2016-02-11T18:47:51.000
Validar solicitud,85452,677,Validar solicitud,677,Fluxicon Disco,Variant 2,2,2016-02-11T19:03:07.000,2016-02-11T18:59:07.000
Homologacion por grupo de cursos,85452,3445,Homologacion por grupo de cursos,3445,Fluxicon Disco,Variant 2,2,2016-02-12T11:24:49.000,2016-02-12T10:40:49.000
Traer informacion estudiante - banner,85453,4130,Traer informacion estudiante - banner,4130,Fluxicon Disco,Variant 46,46,2016-02-11T18:57:25.000,2016-02-11T18:57:25.000
Radicar Solicitud Homologacion,85453,4130,Radicar Solicitud Homologacion,4130,Fluxicon Disco,Variant 46,46,2016-02-11T19:20:22.000,2016-02-11T18:57:27.000
Validar solicitud,85453,1707,Validar solicitud,1707,Fluxicon Disco,Variant 46,46,2016-02-16T16:51:59.000,2016-02-16T15:55:06.000
Homologacion por grupo de cursos,85453,15930,Homologacion por grupo de cursos,15930,Fluxicon Disco,Variant 46,46,2016-02-25T17:43:47.000,2016-02-25T16:48:46.000
Revisar curso,85453,1707,Revisar curso,1707,Fluxicon Disco,Variant 46,46,2016-02-25T16:56:32.000,2016-02-25T16:48:46.000
Evaluacion curso,85453,6958,Evaluacion curso,6958,Fluxicon Disco,Variant 46,46,2016-02-26T16:59:27.000,2016-02-26T16:35:03.000
Validacion final,85453,1707,Validacion final,1707,Fluxicon Disco,Variant 46,46,2016-03-02T17:15:10.000,2016-03-02T17:11:10.000
Visto Bueno Cierre Proceso,85453,15930,Visto Bueno Cierre Proceso,15930,Fluxicon Disco,Variant 46,46,2016-03-03T10:34:43.000,2016-03-03T10:18:43.000
Validacion final,85453,1707,Validacion final,1707,Fluxicon Disco,Variant 46,46,2016-03-07T12:55:43.000,2016-03-07T12:54:52.000
Visto Bueno Cierre Proceso,85453,15930,Visto Bueno Cierre Proceso,15930,Fluxicon Disco,Variant 46,46,2016-03-07T13:53:43.000,2016-03-07T13:51:45.000
Transferir Creditos,85453,15930,Transferir Creditos,15930,Fluxicon Disco,Variant 46,46,2016-03-07T15:50:13.000,2016-03-07T15:50:13.000
Transferir creditos homologables,85453,15930,Transferir creditos homologables,15930,Fluxicon Disco,Variant 46,46,2016-03-07T15:50:14.000,2016-03-07T15:50:14.000
Transferir creditos homologables,85453,15930,Transferir creditos homologables,15930,Fluxicon Disco,Variant 46,46,2016-03-07T15:50:15.000,2016-03-07T15:50:15.000
Transferir creditos homologables,85453,15930,Transferir creditos homologables,15930,Fluxicon Disco,Variant 46,46,2016-03-07T15:50:15.000,2016-03-07T15:50:15.000
Transferir creditos homologables,85453,15930,Transferir creditos homologables,15930,Fluxicon Disco,Variant 46,46,2016-03-07T15:50:15.000,2016-03-07T15:50:15.000
Transferir creditos homologables,85453,15930,Transferir creditos homologables,15930,Fluxicon Disco,Variant 46,46,2016-03-07T15:50:15.000,2016-03-07T15:50:15.000
Traer informacion estudiante - banner,85454,5330,Traer informacion estudiante - banner,5330,Fluxicon Disco,Variant 25,25,2016-02-11T19:27:04.000,2016-02-11T19:27:04.000
Radicar Solicitud Homologacion,85454,5330,Radicar Solicitud Homologacion,5330,Fluxicon Disco,Variant 25,25,2016-02-11T20:06:57.000,2016-02-11T19:27:08.000
Validar solicitud,85454,241,Validar solicitud,241,Fluxicon Disco,Variant 25,25,2016-02-18T19:24:30.000,2016-02-18T19:16:47.000
Homologacion por grupo de cursos,85454,6979,Homologacion por grupo de cursos,6979,Fluxicon Disco,Variant 25,25,2016-02-20T05:02:38.000,2016-02-19T18:20:05.000
Recepcion de documentos,85454,26789,Recepcion de documentos,26789,Fluxicon Disco,Variant 25,25,2016-02-20T03:37:05.000,2016-02-19T18:20:05.000
Validar solicitud,85504,1707,Validar solicitud,1707,Fluxicon Disco,Variant 16,16,2016-02-11T21:00:30.000,2016-02-11T20:48:23.000
Traer informacion estudiante - banner,85504,4457,Traer informacion estudiante - banner,4457,Fluxicon Disco,Variant 16,16,2016-02-11T23:26:13.000,2016-02-11T23:26:13.000
Radicar Solicitud Homologacion,85504,4457,Radicar Solicitud Homologacion,4457,Fluxicon Disco,Variant 16,16,2016-02-11T23:26:16.000,2016-02-11T23:26:16.000
Homologacion por grupo de cursos,85504,15930,Homologacion por grupo de cursos,15930,Fluxicon Disco,Variant 16,16,2016-02-15T16:57:55.000,2016-02-15T14:55:51.000
Validar solicitud,85551,22404,Validar solicitud,22404,Fluxicon Disco,Variant 16,16,2016-02-11T23:06:55.000,2016-02-11T23:04:43.000
Traer informacion estudiante - banner,85551,26348,Traer informacion estudiante - banner,26348,Fluxicon Disco,Variant 16,16,2016-02-12T00:55:21.000,2016-02-12T00:55:21.000
Radicar Solicitud Homologacion,85551,26348,Radicar Solicitud Homologacion,26348,Fluxicon Disco,Variant 16,16,2016-02-12T00:55:28.000,2016-02-12T00:55:28.000
Homologacion por grupo de cursos,85551,4560,Homologacion por grupo de cursos,4560,Fluxicon Disco,Variant 16,16,2016-02-13T00:06:23.000,2016-02-12T15:12:36.000
Traer informacion estudiante - banner,85601,7490,Traer informacion estudiante - banner,7490,Fluxicon Disco,Variant 1,1,2016-02-12T13:18:57.000,2016-02-12T13:18:57.000
Radicar Solicitud Homologacion,85601,7490,Radicar Solicitud Homologacion,7490,Fluxicon Disco,Variant 1,1,2016-02-12T13:26:50.000,2016-02-12T13:19:04.000
Cancelar Solicitud,85601,22404,Cancelar Solicitud,22404,Fluxicon Disco,Variant 1,1,2016-02-15T13:41:49.000,2016-02-15T13:05:55.000
Notificacion estudiante cancelacion soli,85601,22404,Notificacion estudiante cancelacion soli,22404,Fluxicon Disco,Variant 1,1,2016-02-19T17:56:32.000,2016-02-19T17:56:32.000
Traer informacion estudiante - banner,85607,20194,Traer informacion estudiante - banner,20194,Fluxicon Disco,Variant 5,5,2016-02-12T20:14:06.000,2016-02-12T20:14:06.000
Radicar Solicitud Homologacion,85607,20194,Radicar Solicitud Homologacion,20194,Fluxicon Disco,Variant 5,5,2016-02-12T20:14:27.000,2016-02-12T20:14:07.000
Notificacion estudiante cancelacion soli,85607,1,Notificacion estudiante cancelacion soli,1,Fluxicon Disco,Variant 5,5,2016-02-23T16:59:14.000,2016-02-23T16:59:14.000
Traer informacion estudiante - banner,85608,11583,Traer informacion estudiante - banner,11583,Fluxicon Disco,Variant 5,5,2016-02-12T20:41:04.000,2016-02-12T20:41:04.000
Radicar Solicitud Homologacion,85608,11583,Radicar Solicitud Homologacion,11583,Fluxicon Disco,Variant 5,5,2016-02-12T20:41:10.000,2016-02-12T20:41:08.000
Notificacion estudiante cancelacion soli,85608,1,Notificacion estudiante cancelacion soli,1,Fluxicon Disco,Variant 5,5,2016-02-23T19:08:18.000,2016-02-23T19:08:18.000
Traer informacion estudiante - banner,85610,9336,Traer informacion estudiante - banner,9336,Fluxicon Disco,Variant 1,1,2016-02-12T21:25:29.000,2016-02-12T21:25:29.000
Radicar Solicitud Homologacion,85610,9336,Radicar Solicitud Homologacion,9336,Fluxicon Disco,Variant 1,1,2016-02-12T21:25:39.000,2016-02-12T21:25:33.000
Cancelar Solicitud,85610,677,Cancelar Solicitud,677,Fluxicon Disco,Variant 1,1,2016-02-12T22:25:05.000,2016-02-12T21:31:37.000
Notificacion estudiante cancelacion soli,85610,677,Notificacion estudiante cancelacion soli,677,Fluxicon Disco,Variant 1,1,2016-02-23T18:06:14.000,2016-02-23T18:06:14.000
Traer informacion estudiante - banner,85613,9336,Traer informacion estudiante - banner,9336,Fluxicon Disco,Variant 2,2,2016-02-12T22:00:21.000,2016-02-12T22:00:21.000
Radicar Solicitud Homologacion,85613,9336,Radicar Solicitud Homologacion,9336,Fluxicon Disco,Variant 2,2,2016-02-12T22:00:48.000,2016-02-12T22:00:23.000
Validar solicitud,85613,677,Validar solicitud,677,Fluxicon Disco,Variant 2,2,2016-02-12T22:59:24.000,2016-02-12T22:25:52.000
Homologacion por grupo de cursos,85613,3445,Homologacion por grupo de cursos,3445,Fluxicon Disco,Variant 2,2,2016-02-19T14:24:13.000,2016-02-19T13:58:24.000
Traer informacion estudiante - banner,85654,9336,Traer informacion estudiante - banner,9336,Fluxicon Disco,Variant 1,1,2016-02-12T14:08:02.000,2016-02-12T14:08:02.000
Radicar Solicitud Homologacion,85654,9336,Radicar Solicitud Homologacion,9336,Fluxicon Disco,Variant 1,1,2016-02-12T14:08:28.000,2016-02-12T14:08:08.000
Cancelar Solicitud,85654,677,Cancelar Solicitud,677,Fluxicon Disco,Variant 1,1,2016-02-12T15:27:34.000,2016-02-12T14:29:04.000
Notificacion estudiante cancelacion soli,85654,677,Notificacion estudiante cancelacion soli,677,Fluxicon Disco,Variant 1,1,2016-02-23T18:16:38.000,2016-02-23T18:16:38.000
Traer informacion estudiante - banner,85657,9336,Traer informacion estudiante - banner,9336,Fluxicon Disco,Variant 1,1,2016-02-12T14:36:21.000,2016-02-12T14:36:21.000
Radicar Solicitud Homologacion,85657,9336,Radicar Solicitud Homologacion,9336,Fluxicon Disco,Variant 1,1,2016-02-12T14:36:27.000,2016-02-12T14:36:22.000
Cancelar Solicitud,85657,677,Cancelar Solicitud,677,Fluxicon Disco,Variant 1,1,2016-02-12T14:45:55.000,2016-02-12T14:41:30.000
Notificacion estudiante cancelacion soli,85657,677,Notificacion estudiante cancelacion soli,677,Fluxicon Disco,Variant 1,1,2016-02-12T21:07:11.000,2016-02-12T21:07:11.000
Traer informacion estudiante - banner,85701,13733,Traer informacion estudiante - banner,13733,Fluxicon Disco,Variant 1,1,2016-02-13T00:07:58.000,2016-02-13T00:07:58.000
Radicar Solicitud Homologacion,85701,13733,Radicar Solicitud Homologacion,13733,Fluxicon Disco,Variant 1,1,2016-02-13T00:44:03.000,2016-02-13T00:08:03.000
Cancelar Solicitud,85701,7297,Cancelar Solicitud,7297,Fluxicon Disco,Variant 1,1,2016-02-19T17:09:36.000,2016-02-19T17:09:36.000
Notificacion estudiante cancelacion soli,85701,7297,Notificacion estudiante cancelacion soli,7297,Fluxicon Disco,Variant 1,1,2016-02-19T17:16:51.000,2016-02-19T17:16:51.000
Validar solicitud,85901,18929,Validar solicitud,18929,Fluxicon Disco,Variant 16,16,2016-02-13T22:21:10.000,2016-02-13T21:33:10.000
Traer informacion estudiante - banner,85901,11353,Traer informacion estudiante - banner,11353,Fluxicon Disco,Variant 16,16,2016-02-14T00:15:37.000,2016-02-14T00:15:37.000
Radicar Solicitud Homologacion,85901,11353,Radicar Solicitud Homologacion,11353,Fluxicon Disco,Variant 16,16,2016-02-14T00:15:44.000,2016-02-14T00:15:44.000
Homologacion por grupo de cursos,85901,18929,Homologacion por grupo de cursos,18929,Fluxicon Disco,Variant 16,16,2016-02-23T22:10:53.000,2016-02-23T11:09:55.000
Traer informacion estudiante - banner,85902,11353,Traer informacion estudiante - banner,11353,Fluxicon Disco,Variant 9,9,2016-02-14T00:40:10.000,2016-02-14T00:40:10.000
Radicar Solicitud Homologacion,85902,11353,Radicar Solicitud Homologacion,11353,Fluxicon Disco,Variant 9,9,2016-02-14T00:40:13.000,2016-02-14T00:40:13.000
Validar solicitud,85902,18929,Validar solicitud,18929,Fluxicon Disco,Variant 9,9,2016-02-14T01:43:44.000,2016-02-14T00:55:44.000
Cancelar Solicitud,85902,18929,Cancelar Solicitud,18929,Fluxicon Disco,Variant 9,9,2016-02-14T12:44:39.000,2016-02-14T00:55:44.000
Notificacion estudiante cancelacion soli,85902,18929,Notificacion estudiante cancelacion soli,18929,Fluxicon Disco,Variant 9,9,2016-06-28T20:55:25.000,2016-06-28T20:55:25.000
Traer informacion estudiante - banner,86001,6107,Traer informacion estudiante - banner,6107,Fluxicon Disco,Variant 2,2,2016-02-14T12:27:28.000,2016-02-14T12:27:28.000
Radicar Solicitud Homologacion,86001,6107,Radicar Solicitud Homologacion,6107,Fluxicon Disco,Variant 2,2,2016-02-14T12:27:35.000,2016-02-14T12:27:35.000
Validar solicitud,86001,19019,Validar solicitud,19019,Fluxicon Disco,Variant 2,2,2016-02-14T12:38:01.000,2016-02-14T12:38:01.000
Homologacion por grupo de cursos,86001,1007,Homologacion por grupo de cursos,1007,Fluxicon Disco,Variant 2,2,2016-02-15T11:14:04.000,2016-02-15T10:30:04.000
