activity,case_id,resource,end_time,start_time,enabled_time
Radicar Solicitud Homologacion,86,11387,2016-04-26T16:06:54.000,2016-04-26T16:06:38.000,2016-04-26T16:06:32.000+00:00
Validar solicitud,86,677,2016-04-26T17:26:08.000,2016-04-26T16:22:59.000,2016-04-26T16:06:54.000+00:00
Homologacion por grupo de cursos,86,677,2016-05-06T15:32:31.000,2016-05-06T15:32:30.000,2016-04-26T17:26:08.000+00:00
Traer informacion estudiante - banner,87,13559,2016-04-26T21:00:07.000,2016-04-26T21:00:07.000,2016-04-26T21:00:07.000+00:00
Radicar Solicitud Homologacion,87,13559,2016-04-26T21:02:13.000,2016-04-26T21:00:14.000,2016-04-26T21:00:07.000+00:00
Cancelar Solicitud,87,22404,2016-04-27T10:30:25.000,2016-04-27T10:21:58.000,2016-04-26T21:02:13.000+00:00
Notificacion estudiante cancelacion soli,87,22404,2016-04-28T13:27:17.000,2016-04-28T13:27:17.000,2016-04-27T10:30:25.000+00:00
Traer informacion estudiante - banner,88,2154,2016-04-26T22:01:23.000,2016-04-26T22:01:23.000,2016-04-26T22:01:23.000+00:00
Radicar Solicitud Homologacion,88,2154,2016-04-26T22:01:48.000,2016-04-26T22:01:26.000,2016-04-26T22:01:23.000+00:00
Validar solicitud,88,186,2016-04-26T23:40:16.000,2016-04-26T22:24:09.000,2016-04-26T22:01:48.000+00:00
Homologacion por grupo de cursos,88,26788,2016-05-11T16:35:27.000,2016-05-11T16:31:35.000,2016-04-26T23:40:16.000+00:00
Traer informacion estudiante - banner,89,2154,2016-04-26T22:26:24.000,2016-04-26T22:26:24.000,2016-04-26T22:26:24.000+00:00
Radicar Solicitud Homologacion,89,2154,2016-04-26T22:27:00.000,2016-04-26T22:26:27.000,2016-04-26T22:26:24.000+00:00
Validar solicitud,89,186,2016-04-27T00:19:15.000,2016-04-26T23:03:39.000,2016-04-26T22:27:00.000+00:00
Homologacion por grupo de cursos,89,186,2016-05-11T16:36:28.000,2016-05-11T16:36:15.000,2016-04-27T00:19:15.000+00:00
Traer informacion estudiante - banner,90,3815,2016-04-27T00:07:02.000,2016-04-27T00:07:02.000,2016-04-27T00:07:02.000+00:00
Radicar Solicitud Homologacion,90,3815,2016-04-27T01:23:03.000,2016-04-27T00:07:03.000,2016-04-27T00:07:02.000+00:00
Cancelar Solicitud,90,6694,2016-05-11T18:43:42.000,2016-05-11T18:39:42.000,2016-04-27T01:23:03.000+00:00
Notificacion estudiante cancelacion soli,90,6694,2016-05-12T12:27:53.000,2016-05-12T12:27:53.000,2016-05-11T18:43:42.000+00:00
Traer informacion estudiante - banner,91,6572,2016-04-27T10:07:28.000,2016-04-27T10:07:28.000,2016-04-27T10:07:28.000+00:00
Radicar Solicitud Homologacion,91,6572,2016-04-27T10:15:38.000,2016-04-27T10:07:38.000,2016-04-27T10:07:28.000+00:00
Cancelar Solicitud,91,6572,2016-04-28T12:49:42.000,2016-04-28T12:49:35.000,2016-04-27T10:15:38.000+00:00
Notificacion estudiante cancelacion soli,91,6572,2016-04-28T13:07:03.000,2016-04-28T13:07:03.000,2016-04-28T12:49:42.000+00:00
Traer informacion estudiante - banner,92,7143,2016-04-27T14:30:38.000,2016-04-27T14:30:38.000,2016-04-27T14:30:38.000+00:00
Radicar Solicitud Homologacion,92,7143,2016-04-27T14:47:19.000,2016-04-27T14:30:41.000,2016-04-27T14:30:38.000+00:00
Validar solicitud,92,19019,2016-04-29T15:26:36.000,2016-04-29T15:09:19.000,2016-04-27T14:47:19.000+00:00
Homologacion por grupo de cursos,92,1007,2016-05-03T21:08:28.000,2016-05-03T16:26:27.000,2016-04-29T15:26:36.000+00:00
Homologacion por grupo de cursos,93,4560,2016-04-27T16:05:51.000,2016-04-27T14:16:44.000,2016-04-27T14:16:44.000+00:00
Traer informacion estudiante - banner,93,8147,2016-04-27T15:32:07.000,2016-04-27T15:32:07.000,2016-04-27T14:16:44.000+00:00
Radicar Solicitud Homologacion,93,8147,2016-04-27T15:32:16.000,2016-04-27T15:32:09.000,2016-04-27T15:32:07.000+00:00
Validar solicitud,93,19019,2016-04-27T15:39:40.000,2016-04-27T15:39:40.000,2016-04-27T15:32:16.000+00:00
Traer informacion estudiante - banner,94,9489,2016-04-27T14:45:15.000,2016-04-27T14:45:15.000,2016-04-27T14:45:15.000+00:00
Radicar Solicitud Homologacion,94,9489,2016-04-27T15:24:59.000,2016-04-27T14:45:16.000,2016-04-27T14:45:15.000+00:00
Cancelar Solicitud,94,241,2016-05-04T15:06:48.000,2016-05-04T14:28:17.000,2016-04-27T15:24:59.000+00:00
Notificacion estudiante cancelacion soli,94,241,2016-05-12T00:42:35.000,2016-05-12T00:42:35.000,2016-05-04T15:06:48.000+00:00
Traer informacion estudiante - banner,95,8428,2016-04-27T16:57:21.000,2016-04-27T16:57:21.000,2016-04-27T16:57:21.000+00:00
Radicar Solicitud Homologacion,95,8428,2016-04-27T17:29:22.000,2016-04-27T16:57:24.000,2016-04-27T16:57:21.000+00:00
Homologacion por grupo de cursos,95,1007,2016-05-03T19:41:24.000,2016-05-03T14:57:54.000,2016-04-27T17:29:22.000+00:00
Validar solicitud,95,19019,2016-05-03T16:55:44.000,2016-05-03T16:55:44.000,2016-04-27T17:29:22.000+00:00
Traer informacion estudiante - banner,96,11342,2016-04-27T20:39:22.000,2016-04-27T20:39:22.000,2016-04-27T20:39:22.000+00:00
Radicar Solicitud Homologacion,96,11342,2016-04-27T20:39:34.000,2016-04-27T20:39:25.000,2016-04-27T20:39:22.000+00:00
Validar solicitud,96,18929,2016-04-27T21:27:15.000,2016-04-27T20:49:24.000,2016-04-27T20:39:34.000+00:00
Homologacion por grupo de cursos,96,957,2016-05-04T19:15:25.000,2016-05-04T16:41:03.000,2016-04-27T21:27:15.000+00:00
Traer informacion estudiante - banner,97,7862,2016-04-27T21:15:22.000,2016-04-27T21:15:22.000,2016-04-27T21:15:22.000+00:00
Radicar Solicitud Homologacion,97,7862,2016-04-27T21:15:41.000,2016-04-27T21:15:23.000,2016-04-27T21:15:22.000+00:00
Validar solicitud,97,1707,2016-04-27T21:39:00.000,2016-04-27T21:33:34.000,2016-04-27T21:15:41.000+00:00
Homologacion por grupo de cursos,97,15930,2016-04-28T22:57:59.000,2016-04-28T17:47:11.000,2016-04-27T21:39:00.000+00:00
Traer informacion estudiante - banner,98,7862,2016-04-27T21:36:50.000,2016-04-27T21:36:50.000,2016-04-27T21:36:50.000+00:00
Radicar Solicitud Homologacion,98,7862,2016-04-27T21:36:54.000,2016-04-27T21:36:51.000,2016-04-27T21:36:50.000+00:00
Validar solicitud,98,1707,2016-04-27T21:45:21.000,2016-04-27T21:40:02.000,2016-04-27T21:36:54.000+00:00
Homologacion por grupo de cursos,98,15930,2016-04-28T21:27:56.000,2016-04-28T17:47:56.000,2016-04-27T21:45:21.000+00:00
Traer informacion estudiante - banner,99,12935,2016-04-27T18:47:16.000,2016-04-27T18:47:16.000,2016-04-27T18:47:16.000+00:00
Radicar Solicitud Homologacion,99,12935,2016-04-27T18:47:54.000,2016-04-27T18:47:20.000,2016-04-27T18:47:16.000+00:00
Validar solicitud,99,18929,2016-04-27T20:13:44.000,2016-04-27T19:34:37.000,2016-04-27T18:47:54.000+00:00
Homologacion por grupo de cursos,99,957,2016-05-04T19:16:47.000,2016-05-04T16:42:27.000,2016-04-27T20:13:44.000+00:00
Traer informacion estudiante - banner,100,10280,2016-04-27T18:58:04.000,2016-04-27T18:58:04.000,2016-04-27T18:58:04.000+00:00
Radicar Solicitud Homologacion,100,10280,2016-04-27T18:58:18.000,2016-04-27T18:58:05.000,2016-04-27T18:58:04.000+00:00
Cancelar Solicitud,100,10280,2016-04-27T19:14:16.000,2016-04-27T19:13:53.000,2016-04-27T18:58:18.000+00:00
Notificacion estudiante cancelacion soli,100,10280,2016-04-27T19:36:56.000,2016-04-27T19:36:56.000,2016-04-27T19:14:16.000+00:00
Traer informacion estudiante - banner,101,10280,2016-04-27T19:15:41.000,2016-04-27T19:15:41.000,2016-04-27T19:15:41.000+00:00
Radicar Solicitud Homologacion,101,10280,2016-04-27T19:15:47.000,2016-04-27T19:15:43.000,2016-04-27T19:15:41.000+00:00
Validar solicitud,101,18929,2016-04-27T19:59:48.000,2016-04-27T19:20:19.000,2016-04-27T19:15:47.000+00:00
Homologacion por grupo de cursos,101,18929,2016-05-04T17:53:48.000,2016-05-04T16:49:38.000,2016-04-27T19:59:48.000+00:00
Traer informacion estudiante - banner,102,10280,2016-04-27T19:22:20.000,2016-04-27T19:22:20.000,2016-04-27T19:22:20.000+00:00
Radicar Solicitud Homologacion,102,10280,2016-04-27T19:22:33.000,2016-04-27T19:22:22.000,2016-04-27T19:22:20.000+00:00
Validar solicitud,102,18929,2016-04-27T20:13:06.000,2016-04-27T19:33:49.000,2016-04-27T19:22:33.000+00:00
Homologacion por grupo de cursos,102,957,2016-05-04T19:28:06.000,2016-05-04T16:51:21.000,2016-04-27T20:13:06.000+00:00
Traer informacion estudiante - banner,103,12935,2016-04-27T19:29:23.000,2016-04-27T19:29:23.000,2016-04-27T19:29:23.000+00:00
Radicar Solicitud Homologacion,103,12935,2016-04-27T19:29:28.000,2016-04-27T19:29:24.000,2016-04-27T19:29:23.000+00:00
Validar solicitud,103,18929,2016-04-27T20:13:10.000,2016-04-27T19:33:51.000,2016-04-27T19:29:28.000+00:00
Homologacion por grupo de cursos,103,957,2016-05-04T18:17:03.000,2016-05-04T16:52:56.000,2016-04-27T20:13:10.000+00:00
Traer informacion estudiante - banner,104,12935,2016-04-27T19:35:50.000,2016-04-27T19:35:50.000,2016-04-27T19:35:50.000+00:00
Radicar Solicitud Homologacion,104,12935,2016-04-27T19:35:55.000,2016-04-27T19:35:51.000,2016-04-27T19:35:50.000+00:00
Cancelar Solicitud,104,18929,2016-04-27T21:23:42.000,2016-04-27T19:40:23.000,2016-04-27T19:35:55.000+00:00
Notificacion estudiante cancelacion soli,104,18929,2016-05-17T17:47:07.000,2016-05-17T17:47:07.000,2016-04-27T21:23:42.000+00:00
Traer informacion estudiante - banner,105,8688,2016-04-27T23:31:22.000,2016-04-27T23:31:22.000,2016-04-27T23:31:22.000+00:00
Radicar Solicitud Homologacion,105,8688,2016-04-27T23:31:23.000,2016-04-27T23:31:23.000,2016-04-27T23:31:22.000+00:00
Cancelar Solicitud,105,19019,2016-04-27T23:39:26.000,2016-04-27T23:35:49.000,2016-04-27T23:31:23.000+00:00
Notificacion estudiante cancelacion soli,105,19019,2016-04-28T16:37:51.000,2016-04-28T16:37:51.000,2016-04-27T23:39:26.000+00:00
Traer informacion estudiante - banner,106,8688,2016-04-27T23:36:04.000,2016-04-27T23:36:04.000,2016-04-27T23:36:04.000+00:00
Radicar Solicitud Homologacion,106,8688,2016-04-27T23:36:06.000,2016-04-27T23:36:06.000,2016-04-27T23:36:04.000+00:00
Cancelar Solicitud,106,19019,2016-04-27T23:41:55.000,2016-04-27T23:40:05.000,2016-04-27T23:36:06.000+00:00
Radicar Solicitud Homologacion,107,4708,2016-04-28T15:36:56.000,2016-04-28T15:36:39.000,2016-04-28T15:36:38.000+00:00
Cancelar Solicitud,107,9184,2016-04-28T19:07:33.000,2016-04-28T15:54:28.000,2016-04-28T15:36:56.000+00:00
Notificacion estudiante cancelacion soli,107,9184,2016-06-03T17:00:34.000,2016-06-03T17:00:34.000,2016-04-28T19:07:33.000+00:00
Traer informacion estudiante - banner,108,8032,2016-04-28T15:37:46.000,2016-04-28T15:37:46.000,2016-04-28T15:37:46.000+00:00
Radicar Solicitud Homologacion,108,8032,2016-04-28T15:37:53.000,2016-04-28T15:37:47.000,2016-04-28T15:37:46.000+00:00
Validar solicitud,108,22404,2016-04-28T16:32:02.000,2016-04-28T15:44:25.000,2016-04-28T15:37:53.000+00:00
Homologacion por grupo de cursos,108,22404,2016-05-06T16:04:54.000,2016-05-06T15:22:10.000,2016-04-28T16:32:02.000+00:00
Traer informacion estudiante - banner,109,7819,2016-04-28T16:22:47.000,2016-04-28T16:22:47.000,2016-04-28T16:22:47.000+00:00
Radicar Solicitud Homologacion,109,7819,2016-04-28T16:23:04.000,2016-04-28T16:22:51.000,2016-04-28T16:22:47.000+00:00
Validar solicitud,109,920,2016-04-28T17:44:26.000,2016-04-28T16:36:03.000,2016-04-28T16:23:04.000+00:00
Homologacion por grupo de cursos,109,26758,2016-05-12T14:47:36.000,2016-05-12T12:03:30.000,2016-04-28T17:44:26.000+00:00
Traer informacion estudiante - banner,110,12532,2016-04-28T16:25:06.000,2016-04-28T16:25:06.000,2016-04-28T16:25:06.000+00:00
Radicar Solicitud Homologacion,110,12532,2016-04-28T16:25:18.000,2016-04-28T16:25:10.000,2016-04-28T16:25:06.000+00:00
Validar solicitud,110,19019,2016-04-28T16:33:27.000,2016-04-28T16:33:27.000,2016-04-28T16:25:18.000+00:00
Cancelar Solicitud,110,12532,2016-04-28T16:33:54.000,2016-04-28T16:33:28.000,2016-04-28T16:25:18.000+00:00
Notificacion estudiante cancelacion soli,110,12532,2016-04-28T17:03:37.000,2016-04-28T17:03:37.000,2016-04-28T16:33:54.000+00:00
Traer informacion estudiante - banner,111,12532,2016-04-28T16:33:46.000,2016-04-28T16:33:46.000,2016-04-28T16:33:46.000+00:00
Radicar Solicitud Homologacion,111,12532,2016-04-28T16:33:49.000,2016-04-28T16:33:47.000,2016-04-28T16:33:46.000+00:00
Cancelar Solicitud,111,12532,2016-04-28T16:36:37.000,2016-04-28T16:36:14.000,2016-04-28T16:33:49.000+00:00
Validar solicitud,111,19019,2016-04-28T16:36:14.000,2016-04-28T16:36:14.000,2016-04-28T16:33:49.000+00:00
Notificacion estudiante cancelacion soli,111,12532,2016-04-28T17:04:17.000,2016-04-28T17:04:17.000,2016-04-28T16:36:37.000+00:00
Traer informacion estudiante - banner,112,12532,2016-04-28T17:06:51.000,2016-04-28T17:06:51.000,2016-04-28T17:06:51.000+00:00
Radicar Solicitud Homologacion,112,12532,2016-04-28T17:06:54.000,2016-04-28T17:06:54.000,2016-04-28T17:06:51.000+00:00
Cancelar Solicitud,112,19019,2016-04-28T17:12:29.000,2016-04-28T17:12:29.000,2016-04-28T17:06:54.000+00:00
Notificacion estudiante cancelacion soli,112,19019,2016-04-28T17:27:10.000,2016-04-28T17:27:10.000,2016-04-28T17:12:29.000+00:00
Traer informacion estudiante - banner,113,12532,2016-04-28T17:12:39.000,2016-04-28T17:12:39.000,2016-04-28T17:12:39.000+00:00
Radicar Solicitud Homologacion,113,12532,2016-04-28T17:12:40.000,2016-04-28T17:12:40.000,2016-04-28T17:12:39.000+00:00
Cancelar Solicitud,113,19019,2016-04-28T17:15:56.000,2016-04-28T17:15:56.000,2016-04-28T17:12:40.000+00:00
Notificacion estudiante cancelacion soli,113,19019,2016-04-28T17:28:19.000,2016-04-28T17:28:19.000,2016-04-28T17:15:56.000+00:00
Homologacion por grupo de cursos,114,1343,2016-04-28T21:55:05.000,2016-04-28T19:56:51.000,2016-04-28T19:56:51.000+00:00
Traer informacion estudiante - banner,114,4867,2016-04-28T20:30:07.000,2016-04-28T20:30:07.000,2016-04-28T19:56:51.000+00:00
Radicar Solicitud Homologacion,114,4867,2016-04-28T20:30:38.000,2016-04-28T20:30:13.000,2016-04-28T20:30:07.000+00:00
Validar solicitud,114,22475,2016-04-28T20:55:19.000,2016-04-28T20:55:19.000,2016-04-28T20:30:38.000+00:00
Traer informacion estudiante - banner,115,11197,2016-04-29T12:00:47.000,2016-04-29T12:00:47.000,2016-04-29T12:00:47.000+00:00
Radicar Solicitud Homologacion,115,11197,2016-04-29T12:00:49.000,2016-04-29T12:00:49.000,2016-04-29T12:00:47.000+00:00
Validar solicitud,115,19019,2016-04-29T12:06:14.000,2016-04-29T12:05:10.000,2016-04-29T12:00:49.000+00:00
Homologacion por grupo de cursos,115,19019,2016-04-29T14:04:11.000,2016-04-29T14:04:10.000,2016-04-29T12:06:14.000+00:00
Traer informacion estudiante - banner,116,8856,2016-04-29T12:07:37.000,2016-04-29T12:07:37.000,2016-04-29T12:07:37.000+00:00
Radicar Solicitud Homologacion,116,8856,2016-04-29T12:07:38.000,2016-04-29T12:07:38.000,2016-04-29T12:07:37.000+00:00
Cancelar Solicitud,116,8856,2016-04-29T12:13:08.000,2016-04-29T12:13:08.000,2016-04-29T12:07:38.000+00:00
Notificacion estudiante cancelacion soli,116,8856,2016-04-29T12:19:04.000,2016-04-29T12:19:04.000,2016-04-29T12:13:08.000+00:00
Traer informacion estudiante - banner,117,7143,2016-04-29T15:07:04.000,2016-04-29T15:07:04.000,2016-04-29T15:07:04.000+00:00
Radicar Solicitud Homologacion,117,7143,2016-04-29T15:08:58.000,2016-04-29T15:07:06.000,2016-04-29T15:07:04.000+00:00
Validar solicitud,117,19019,2016-04-29T18:23:38.000,2016-04-29T18:08:11.000,2016-04-29T15:08:58.000+00:00
Homologacion por grupo de cursos,117,1007,2016-05-03T21:09:45.000,2016-05-03T16:27:45.000,2016-04-29T18:23:38.000+00:00
Traer informacion estudiante - banner,118,2981,2016-04-30T21:06:50.000,2016-04-30T21:06:50.000,2016-04-30T21:06:50.000+00:00
Radicar Solicitud Homologacion,118,2981,2016-04-30T21:06:56.000,2016-04-30T21:06:56.000,2016-04-30T21:06:50.000+00:00
Radicar Solicitud Homologacion,118,2981,2016-05-02T22:08:09.000,2016-05-02T21:24:18.000,2016-04-30T21:06:56.000+00:00
Validar solicitud,118,677,2016-05-11T15:23:41.000,2016-05-11T15:15:27.000,2016-05-02T22:08:09.000+00:00
Homologacion por grupo de cursos,118,3445,2016-05-12T15:47:02.000,2016-05-12T15:29:59.000,2016-05-11T15:23:41.000+00:00
Traer informacion estudiante - banner,119,15315,2016-05-01T14:10:12.000,2016-05-01T14:10:12.000,2016-05-01T14:10:12.000+00:00
Radicar Solicitud Homologacion,119,15315,2016-05-01T14:10:19.000,2016-05-01T14:10:19.000,2016-05-01T14:10:12.000+00:00
Cancelar Solicitud,119,6694,2016-05-01T14:21:17.000,2016-05-01T14:21:17.000,2016-05-01T14:10:19.000+00:00
Notificacion estudiante cancelacion soli,119,6694,2016-05-02T10:54:05.000,2016-05-02T10:54:05.000,2016-05-01T14:21:17.000+00:00
Traer informacion estudiante - banner,120,11515,2016-05-01T12:22:14.000,2016-05-01T12:22:14.000,2016-05-01T12:22:14.000+00:00
Radicar Solicitud Homologacion,120,11515,2016-05-01T12:22:18.000,2016-05-01T12:22:18.000,2016-05-01T12:22:14.000+00:00
Cancelar Solicitud,120,1707,2016-05-01T12:43:47.000,2016-05-01T12:42:37.000,2016-05-01T12:22:18.000+00:00
Notificacion estudiante cancelacion soli,120,1707,2016-05-02T14:10:19.000,2016-05-02T14:10:19.000,2016-05-01T12:43:47.000+00:00
Traer informacion estudiante - banner,121,8022,2016-05-01T18:12:47.000,2016-05-01T18:12:47.000,2016-05-01T18:12:47.000+00:00
Radicar Solicitud Homologacion,121,8022,2016-05-01T18:12:54.000,2016-05-01T18:12:54.000,2016-05-01T18:12:47.000+00:00
Validar solicitud,121,677,2016-05-01T19:33:30.000,2016-05-01T18:24:53.000,2016-05-01T18:12:54.000+00:00
Homologacion por grupo de cursos,121,3445,2016-05-13T21:46:15.000,2016-05-13T19:37:40.000,2016-05-01T19:33:30.000+00:00
Traer informacion estudiante - banner,122,11961,2016-05-01T18:05:04.000,2016-05-01T18:05:04.000,2016-05-01T18:05:04.000+00:00
Radicar Solicitud Homologacion,122,11961,2016-05-01T18:05:09.000,2016-05-01T18:05:09.000,2016-05-01T18:05:04.000+00:00
Cancelar Solicitud,122,11961,2016-05-01T20:53:17.000,2016-05-01T19:05:47.000,2016-05-01T18:05:09.000+00:00
Notificacion estudiante cancelacion soli,122,11961,2016-05-20T16:30:26.000,2016-05-20T16:30:26.000,2016-05-01T20:53:17.000+00:00
Traer informacion estudiante - banner,123,3003,2016-05-02T01:34:51.000,2016-05-02T01:34:51.000,2016-05-02T01:34:51.000+00:00
Radicar Solicitud Homologacion,123,22491,2016-05-02T02:00:37.000,2016-05-02T01:34:55.000,2016-05-02T01:34:51.000+00:00
Validar solicitud,123,677,2016-05-05T15:15:08.000,2016-05-05T14:42:27.000,2016-05-02T02:00:37.000+00:00
Homologacion por grupo de cursos,123,3445,2016-05-12T15:57:01.000,2016-05-12T15:24:16.000,2016-05-05T15:15:08.000+00:00
Traer informacion estudiante - banner,124,6572,2016-05-02T15:34:11.000,2016-05-02T15:34:11.000,2016-05-02T15:34:11.000+00:00
Radicar Solicitud Homologacion,124,6572,2016-05-02T15:34:20.000,2016-05-02T15:34:14.000,2016-05-02T15:34:11.000+00:00
Cancelar Solicitud,124,6572,2016-05-02T15:40:44.000,2016-05-02T15:40:42.000,2016-05-02T15:34:20.000+00:00
Notificacion estudiante cancelacion soli,124,6572,2016-05-02T15:43:40.000,2016-05-02T15:43:40.000,2016-05-02T15:40:44.000+00:00
Traer informacion estudiante - banner,125,6572,2016-05-02T15:51:01.000,2016-05-02T15:51:01.000,2016-05-02T15:51:01.000+00:00
Radicar Solicitud Homologacion,125,6572,2016-05-02T15:51:09.000,2016-05-02T15:51:05.000,2016-05-02T15:51:01.000+00:00
Validar solicitud,125,1707,2016-05-02T15:55:36.000,2016-05-02T15:55:05.000,2016-05-02T15:51:09.000+00:00
Homologacion por grupo de cursos,125,15930,2016-05-02T17:47:34.000,2016-05-02T16:27:04.000,2016-05-02T15:55:36.000+00:00
Traer informacion estudiante - banner,126,6572,2016-05-02T15:56:59.000,2016-05-02T15:56:59.000,2016-05-02T15:56:59.000+00:00
Radicar Solicitud Homologacion,126,6572,2016-05-02T15:57:04.000,2016-05-02T15:57:01.000,2016-05-02T15:56:59.000+00:00
Validar solicitud,126,1707,2016-05-02T16:00:54.000,2016-05-02T16:00:29.000,2016-05-02T15:57:04.000+00:00
Homologacion por grupo de cursos,126,15930,2016-05-02T17:46:33.000,2016-05-02T16:26:07.000,2016-05-02T16:00:54.000+00:00
Traer informacion estudiante - banner,127,22529,2016-05-02T21:10:44.000,2016-05-02T21:10:44.000,2016-05-02T21:10:44.000+00:00
Radicar Solicitud Homologacion,127,22529,2016-05-02T21:11:27.000,2016-05-02T21:10:45.000,2016-05-02T21:10:44.000+00:00
Validar solicitud,127,6767,2016-05-02T22:38:42.000,2016-05-02T21:53:36.000,2016-05-02T21:11:27.000+00:00
Homologacion por grupo de cursos,127,6954,2016-05-11T19:58:55.000,2016-05-11T18:58:55.000,2016-05-02T22:38:42.000+00:00
Traer informacion estudiante - banner,128,6369,2016-05-02T21:42:37.000,2016-05-02T21:42:37.000,2016-05-02T21:42:37.000+00:00
Radicar Solicitud Homologacion,128,6369,2016-05-02T21:43:21.000,2016-05-02T21:42:37.000,2016-05-02T21:42:37.000+00:00
Cancelar Solicitud,129,1707,2016-05-02T17:12:09.000,2016-05-02T17:07:03.000,2016-05-02T17:03:19.000+00:00
Notificacion estudiante cancelacion soli,129,1707,2016-05-03T14:06:50.000,2016-05-03T14:06:50.000,2016-05-02T17:12:09.000+00:00
Traer informacion estudiante - banner,130,9187,2016-05-02T17:07:17.000,2016-05-02T17:07:17.000,2016-05-02T17:07:17.000+00:00
Radicar Solicitud Homologacion,130,9187,2016-05-02T17:07:18.000,2016-05-02T17:07:18.000,2016-05-02T17:07:17.000+00:00
Validar solicitud,130,1707,2016-05-02T17:15:55.000,2016-05-02T17:10:48.000,2016-05-02T17:07:18.000+00:00
Homologacion por grupo de cursos,130,15930,2016-05-03T14:45:07.000,2016-05-03T14:07:48.000,2016-05-02T17:15:55.000+00:00
Traer informacion estudiante - banner,131,9187,2016-05-02T17:10:59.000,2016-05-02T17:10:59.000,2016-05-02T17:10:59.000+00:00
Radicar Solicitud Homologacion,131,9187,2016-05-02T17:11:00.000,2016-05-02T17:11:00.000,2016-05-02T17:10:59.000+00:00
Cancelar Solicitud,131,9187,2016-05-02T17:15:18.000,2016-05-02T17:15:18.000,2016-05-02T17:11:00.000+00:00
Notificacion estudiante cancelacion soli,131,9187,2016-05-02T17:16:41.000,2016-05-02T17:16:41.000,2016-05-02T17:15:18.000+00:00
Traer informacion estudiante - banner,132,9187,2016-05-02T17:16:52.000,2016-05-02T17:16:52.000,2016-05-02T17:16:52.000+00:00
Radicar Solicitud Homologacion,132,9187,2016-05-02T17:16:53.000,2016-05-02T17:16:53.000,2016-05-02T17:16:52.000+00:00
Validar solicitud,132,1707,2016-05-02T17:23:27.000,2016-05-02T17:18:18.000,2016-05-02T17:16:53.000+00:00
Homologacion por grupo de cursos,132,15930,2016-05-03T14:46:52.000,2016-05-03T14:09:34.000,2016-05-02T17:23:27.000+00:00
Traer informacion estudiante - banner,133,2045,2016-05-02T18:01:04.000,2016-05-02T18:01:04.000,2016-05-02T18:01:04.000+00:00
Radicar Solicitud Homologacion,133,2045,2016-05-02T18:01:07.000,2016-05-02T18:01:07.000,2016-05-02T18:01:04.000+00:00
Validar solicitud,133,22475,2016-05-02T18:41:51.000,2016-05-02T18:40:07.000,2016-05-02T18:01:07.000+00:00
Homologacion por grupo de cursos,133,1343,2016-05-02T22:25:40.000,2016-05-02T20:44:13.000,2016-05-02T18:41:51.000+00:00
Traer informacion estudiante - banner,134,15315,2016-05-02T21:14:12.000,2016-05-02T21:14:12.000,2016-05-02T21:14:12.000+00:00
Radicar Solicitud Homologacion,134,15315,2016-05-02T21:14:28.000,2016-05-02T21:14:15.000,2016-05-02T21:14:12.000+00:00
Cancelar Solicitud,134,6694,2016-05-02T21:37:35.000,2016-05-02T21:28:04.000,2016-05-02T21:14:28.000+00:00
Notificacion estudiante cancelacion soli,134,6694,2016-05-04T12:21:49.000,2016-05-04T12:21:49.000,2016-05-02T21:37:35.000+00:00
Traer informacion estudiante - banner,135,19811,2016-05-03T01:13:49.000,2016-05-03T01:13:49.000,2016-05-03T01:13:49.000+00:00
Radicar Solicitud Homologacion,135,19811,2016-05-03T01:13:50.000,2016-05-03T01:13:50.000,2016-05-03T01:13:49.000+00:00
Validar solicitud,135,22404,2016-05-03T02:16:07.000,2016-05-03T01:49:24.000,2016-05-03T01:13:50.000+00:00
Homologacion por grupo de cursos,135,4560,2016-05-06T17:28:13.000,2016-05-06T15:43:21.000,2016-05-03T02:16:07.000+00:00
Traer informacion estudiante - banner,136,10176,2016-05-03T12:35:40.000,2016-05-03T12:35:40.000,2016-05-03T12:35:40.000+00:00
Radicar Solicitud Homologacion,136,10176,2016-05-03T12:35:48.000,2016-05-03T12:35:48.000,2016-05-03T12:35:40.000+00:00
Notificacion estudiante cancelacion soli,136,22475,2016-05-03T12:38:13.000,2016-05-03T12:38:13.000,2016-05-03T12:35:48.000+00:00
Cancelar Solicitud,136,22475,2016-05-03T12:41:00.000,2016-05-03T12:41:00.000,2016-05-03T12:38:13.000+00:00
Notificacion estudiante cancelacion soli,137,22475,2016-05-03T12:37:08.000,2016-05-03T12:37:08.000,2016-05-03T12:37:08.000+00:00
Traer informacion estudiante - banner,137,10176,2016-05-03T12:42:56.000,2016-05-03T12:42:56.000,2016-05-03T12:37:08.000+00:00
Radicar Solicitud Homologacion,137,10176,2016-05-03T12:42:57.000,2016-05-03T12:42:57.000,2016-05-03T12:42:56.000+00:00
Cancelar Solicitud,137,22475,2016-05-03T12:46:35.000,2016-05-03T12:46:35.000,2016-05-03T12:42:57.000+00:00
Traer informacion estudiante - banner,138,22940,2016-05-03T16:36:54.000,2016-05-03T16:36:54.000,2016-05-03T16:36:54.000+00:00
Radicar Solicitud Homologacion,138,22940,2016-05-03T16:37:10.000,2016-05-03T16:36:55.000,2016-05-03T16:36:54.000+00:00
Validar solicitud,138,18929,2016-05-03T18:04:50.000,2016-05-03T16:52:43.000,2016-05-03T16:37:10.000+00:00
