activity,case_id,resource,end_time,start_time
Evaluacion curso,112501,7297,2016-04-25T19:14:55.000,2016-04-25T15:53:06.000
Evaluacion curso,112501,18942,2016-04-27T20:23:27.000,2016-04-27T15:34:02.000
Validar solicitud / pre-homologacion,112501,7320,2016-06-01T20:09:43.000,2016-06-01T19:42:26.000
Avanzar recepcion documentos,112501,26789,2016-06-08T00:45:55.000,2016-06-08T00:44:59.000
Validacion final,112501,7320,2016-06-08T14:27:50.000,2016-06-08T13:56:47.000
Visto Bueno Cierre Proceso,112501,6952,2016-06-14T12:13:07.000,2016-06-14T12:07:33.000
Transferir Creditos,112501,6952,2016-06-14T20:35:01.000,2016-06-14T20:35:01.000
Transferir creditos homologables,112501,6952,2016-06-14T20:35:02.000,2016-06-14T20:35:02.000
Validacion final,112501,7320,2016-06-21T16:59:31.000,2016-06-21T16:59:31.000
Visto Bueno Cierre Proceso,112501,6952,2016-06-21T17:00:58.000,2016-06-21T17:00:01.000
Validar solicitud / pre-homologacion,112501,7320,2016-06-21T18:54:17.000,2016-06-21T18:54:17.000
Transferir Creditos,112501,6952,2016-06-21T19:57:28.000,2016-06-21T19:57:28.000
Transferir creditos homologables,112501,6952,2016-06-21T19:57:28.000,2016-06-21T19:57:28.000
Transferir creditos homologables,112501,6952,2016-06-21T19:57:28.000,2016-06-21T19:57:28.000
Traer informacion estudiante - banner,112503,12093,2016-04-21T19:50:07.000,2016-04-21T19:50:07.000
Radicar Solicitud Homologacion,112503,12093,2016-04-21T21:13:17.000,2016-04-21T19:50:08.000
Validar solicitud,112503,186,2016-05-06T13:06:25.000,2016-05-06T12:58:25.000
Homologacion por grupo de cursos,112503,186,2016-05-10T01:23:47.000,2016-05-10T01:08:09.000
Traer informacion estudiante - banner,112505,15356,2016-04-21T21:19:42.000,2016-04-21T21:19:42.000
Radicar Solicitud Homologacion,112505,15356,2016-04-21T21:19:48.000,2016-04-21T21:19:43.000
Validar solicitud,112505,18929,2016-04-21T22:05:28.000,2016-04-21T21:25:37.000
Homologacion por grupo de cursos,112505,18929,2016-04-29T00:25:23.000,2016-04-28T21:16:49.000
Traer informacion estudiante - banner,112509,15352,2016-04-21T21:41:56.000,2016-04-21T21:41:56.000
Radicar Solicitud Homologacion,112509,15352,2016-04-21T21:42:02.000,2016-04-21T21:41:57.000
Validar solicitud,112509,18929,2016-04-21T22:27:03.000,2016-04-21T21:47:30.000
Homologacion por grupo de cursos,112509,18929,2016-04-28T23:12:45.000,2016-04-28T21:20:57.000
Traer informacion estudiante - banner,112511,15352,2016-04-21T21:53:07.000,2016-04-21T21:53:07.000
Radicar Solicitud Homologacion,112511,15352,2016-04-21T21:53:11.000,2016-04-21T21:53:08.000
Cancelar Solicitud,112511,18929,2016-04-21T22:41:47.000,2016-04-21T21:56:44.000
Notificacion estudiante cancelacion soli,112511,18929,2016-04-29T17:58:24.000,2016-04-29T17:58:24.000
Traer informacion estudiante - banner,112512,15352,2016-04-21T21:57:05.000,2016-04-21T21:57:05.000
Radicar Solicitud Homologacion,112512,15352,2016-04-21T21:57:10.000,2016-04-21T21:57:06.000
Validar solicitud,112512,18929,2016-04-21T23:09:05.000,2016-04-21T22:01:12.000
Homologacion por grupo de cursos,112512,18929,2016-05-04T17:18:04.000,2016-05-04T15:54:54.000
Notificacion estudiante cancelacion soli,112601,22475,2016-04-22T12:40:47.000,2016-04-22T12:40:47.000
Traer informacion estudiante - banner,112601,10176,2016-04-22T13:30:36.000,2016-04-22T13:30:36.000
Radicar Solicitud Homologacion,112601,10176,2016-04-22T13:31:12.000,2016-04-22T13:30:43.000
Cancelar Solicitud,112601,22475,2016-04-22T14:00:18.000,2016-04-22T14:00:18.000
Traer informacion estudiante - banner,112603,5020,2016-04-22T15:37:24.000,2016-04-22T15:37:24.000
Radicar Solicitud Homologacion,112603,5020,2016-04-22T15:37:37.000,2016-04-22T15:37:26.000
Validar solicitud,112603,19019,2016-04-22T15:51:29.000,2016-04-22T15:48:37.000
Homologacion por grupo de cursos,112603,7324,2016-04-22T23:51:33.000,2016-04-22T20:41:15.000
Revisar curso,112603,19019,2016-04-22T20:41:15.000,2016-04-22T20:41:15.000
Evaluacion curso,112603,117,2016-04-22T21:36:50.000,2016-04-22T20:41:59.000
Validacion final,112603,19019,2016-05-03T19:39:14.000,2016-05-03T19:33:40.000
Visto Bueno Cierre Proceso,112603,7324,2016-05-04T17:17:51.000,2016-05-04T15:07:59.000
Traer informacion estudiante - banner,112604,7854,2016-04-22T16:34:54.000,2016-04-22T16:34:54.000
Radicar Solicitud Homologacion,112604,7854,2016-04-22T16:35:01.000,2016-04-22T16:34:57.000
Cancelar Solicitud,112604,19019,2016-04-22T16:41:46.000,2016-04-22T16:39:41.000
Notificacion estudiante cancelacion soli,112604,19019,2016-04-22T20:44:43.000,2016-04-22T20:44:43.000
Cancelar Solicitud,112606,22404,2016-04-22T17:09:17.000,2016-04-22T16:40:58.000
Validar solicitud,112606,22404,2016-04-22T17:09:17.000,2016-04-22T16:40:58.000
Traer informacion estudiante - banner,112606,11692,2016-04-22T17:24:34.000,2016-04-22T17:24:34.000
Radicar Solicitud Homologacion,112606,11692,2016-04-22T17:24:38.000,2016-04-22T17:24:38.000
Notificacion estudiante cancelacion soli,112606,22404,2016-04-28T10:32:27.000,2016-04-28T10:32:27.000
Traer informacion estudiante - banner,112652,12062,2016-04-22T13:35:36.000,2016-04-22T13:35:36.000
Radicar Solicitud Homologacion,112652,12062,2016-04-22T13:37:57.000,2016-04-22T13:35:37.000
Validar solicitud,112652,186,2016-04-22T17:21:13.000,2016-04-22T15:56:10.000
Homologacion por grupo de cursos,112652,186,2016-05-10T03:01:12.000,2016-05-10T02:45:12.000
Traer informacion estudiante - banner,112702,15352,2016-04-22T16:11:47.000,2016-04-22T16:11:47.000
Radicar Solicitud Homologacion,112702,15352,2016-04-22T16:12:36.000,2016-04-22T16:11:48.000
Validar solicitud,112702,18929,2016-04-22T20:50:17.000,2016-04-22T18:42:17.000
Homologacion por grupo de cursos,112702,957,2016-05-17T19:10:35.000,2016-05-17T17:40:33.000
Traer informacion estudiante - banner,112703,10176,2016-04-22T16:36:35.000,2016-04-22T16:36:35.000
Radicar Solicitud Homologacion,112703,10176,2016-04-22T16:36:52.000,2016-04-22T16:36:39.000
Validar solicitud,112703,22475,2016-04-22T16:51:56.000,2016-04-22T16:50:35.000
Homologacion por grupo de cursos,112703,22475,2016-04-22T20:14:30.000,2016-04-22T20:12:38.000
Revisar curso,112703,22475,2016-04-22T20:12:40.000,2016-04-22T20:12:39.000
Evaluacion curso,112703,22476,2016-04-22T20:15:37.000,2016-04-22T20:13:56.000
Validar solicitud / pre-homologacion,112703,22475,2016-04-22T21:55:13.000,2016-04-22T21:55:04.000
Traer informacion estudiante - banner,112704,11692,2016-04-22T16:43:19.000,2016-04-22T16:43:19.000
Radicar Solicitud Homologacion,112704,11692,2016-04-22T16:43:33.000,2016-04-22T16:43:20.000
Cancelar Solicitud,112704,22404,2016-04-22T17:25:13.000,2016-04-22T16:57:11.000
Notificacion estudiante cancelacion soli,112704,22404,2016-04-28T10:32:58.000,2016-04-28T10:32:58.000
Traer informacion estudiante - banner,112705,11692,2016-04-22T17:06:30.000,2016-04-22T17:06:30.000
Radicar Solicitud Homologacion,112705,11692,2016-04-22T17:06:33.000,2016-04-22T17:06:33.000
Revisar curso,112802,22475,2016-04-25T22:29:01.000,2016-04-25T22:29:01.000
Evaluacion curso,112802,22439,2016-04-26T01:03:02.000,2016-04-25T22:29:45.000
Validar solicitud / pre-homologacion,112802,22475,2016-05-24T13:54:06.000,2016-05-24T13:46:53.000
Homologacion por grupo de cursos,112852,22475,2016-04-22T22:32:41.000,2016-04-22T21:43:25.000
Revisar curso,112852,943,2016-04-22T22:05:35.000,2016-04-22T21:43:25.000
Traer informacion estudiante - banner,112852,12459,2016-04-22T23:30:35.000,2016-04-22T23:30:35.000
Radicar Solicitud Homologacion,112852,12459,2016-04-22T23:30:38.000,2016-04-22T23:30:38.000
Validar solicitud,112852,22475,2016-04-22T23:35:58.000,2016-04-22T23:35:58.000
Evaluacion curso,112852,943,2016-04-27T20:20:55.000,2016-04-27T19:53:49.000
Validar solicitud / pre-homologacion,112852,22475,2016-05-03T12:09:13.000,2016-05-03T12:09:13.000
Traer informacion estudiante - banner,113001,2463,2016-04-23T08:59:26.000,2016-04-23T08:59:26.000
Radicar Solicitud Homologacion,113001,2463,2016-04-23T08:59:32.000,2016-04-23T08:59:32.000
Cancelar Solicitud,113001,241,2016-04-23T21:18:54.000,2016-04-23T20:14:54.000
Notificacion estudiante cancelacion soli,113001,241,2016-05-04T23:00:34.000,2016-05-04T23:00:34.000
Traer informacion estudiante - banner,113151,7717,2016-04-23T19:56:38.000,2016-04-23T19:56:38.000
Radicar Solicitud Homologacion,113151,7717,2016-04-23T19:56:46.000,2016-04-23T19:56:46.000
Radicar Solicitud Homologacion,113151,7717,2016-04-25T22:45:48.000,2016-04-25T21:24:13.000
Radicar Solicitud Homologacion,113151,7717,2016-05-11T21:45:43.000,2016-05-11T21:24:08.000
Validar solicitud,113151,19019,2016-05-16T18:38:33.000,2016-05-16T18:38:33.000
Cancelar Solicitud,113151,19019,2016-05-16T18:38:34.000,2016-05-16T18:38:34.000
Notificacion estudiante cancelacion soli,113151,19019,2016-05-16T18:42:32.000,2016-05-16T18:42:32.000
Traer informacion estudiante - banner,113301,3603,2016-04-24T10:46:41.000,2016-04-24T10:46:41.000
Radicar Solicitud Homologacion,113301,3603,2016-04-24T13:03:02.000,2016-04-24T10:46:50.000
Cancelar Solicitud,113301,3603,2016-05-19T13:12:33.000,2016-05-19T13:12:33.000
Notificacion estudiante cancelacion soli,113301,3603,2016-05-19T13:13:23.000,2016-05-19T13:13:23.000
Traer informacion estudiante - banner,113451,8727,2016-04-24T15:32:30.000,2016-04-24T15:32:30.000
Radicar Solicitud Homologacion,113451,8727,2016-04-24T15:32:34.000,2016-04-24T15:32:34.000
Cancelar Solicitud,113451,19019,2016-04-24T16:09:28.000,2016-04-24T16:08:43.000
Notificacion estudiante cancelacion soli,113451,19019,2016-04-25T13:45:15.000,2016-04-25T13:45:15.000
Traer informacion estudiante - banner,113501,13559,2016-04-24T17:38:08.000,2016-04-24T17:38:08.000
Radicar Solicitud Homologacion,113501,13559,2016-04-24T18:08:40.000,2016-04-24T17:38:13.000
Validar solicitud,113501,22404,2016-04-28T21:36:35.000,2016-04-28T21:27:03.000
Homologacion por grupo de cursos,113501,22404,2016-05-01T16:13:26.000,2016-05-01T14:11:54.000
Traer informacion estudiante - banner,113601,5154,2016-04-24T17:30:47.000,2016-04-24T17:30:47.000
Radicar Solicitud Homologacion,113601,5154,2016-04-24T17:30:52.000,2016-04-24T17:30:52.000
Validar solicitud,113601,22404,2016-04-24T18:47:56.000,2016-04-24T18:23:56.000
Homologacion por grupo de cursos,113601,4560,2016-04-28T15:24:51.000,2016-04-28T10:44:51.000
Traer informacion estudiante - banner,113701,8475,2016-04-24T21:55:38.000,2016-04-24T21:55:38.000
Radicar Solicitud Homologacion,113701,8475,2016-04-24T21:55:42.000,2016-04-24T21:55:42.000
Cancelar Solicitud,113701,1646,2016-04-25T00:55:26.000,2016-04-24T22:09:05.000
Notificacion estudiante cancelacion soli,113701,1646,2016-05-24T21:21:15.000,2016-05-24T21:21:15.000
Traer informacion estudiante - banner,113751,8428,2016-04-25T00:42:10.000,2016-04-25T00:42:10.000
Radicar Solicitud Homologacion,113751,8428,2016-04-25T00:42:16.000,2016-04-25T00:42:16.000
Cancelar Solicitud,113751,19019,2016-04-25T00:54:09.000,2016-04-25T00:53:20.000
Notificacion estudiante cancelacion soli,113751,19019,2016-04-25T13:49:33.000,2016-04-25T13:49:33.000
Traer informacion estudiante - banner,113752,8428,2016-04-25T00:54:39.000,2016-04-25T00:54:39.000
Radicar Solicitud Homologacion,113752,8428,2016-04-25T00:54:40.000,2016-04-25T00:54:40.000
Cancelar Solicitud,113752,19019,2016-04-25T01:20:11.000,2016-04-25T00:59:43.000
Validar solicitud,113752,19019,2016-04-25T01:00:33.000,2016-04-25T00:59:43.000
Revisar curso,113752,19019,2016-04-25T13:50:21.000,2016-04-25T13:50:20.000
Notificacion estudiante cancelacion soli,113752,19019,2016-04-27T19:28:41.000,2016-04-27T19:28:41.000
Traer informacion estudiante - banner,113753,8428,2016-04-25T01:02:43.000,2016-04-25T01:02:43.000
Radicar Solicitud Homologacion,113753,8428,2016-04-25T01:02:44.000,2016-04-25T01:02:44.000
Validar solicitud,113753,19019,2016-04-25T01:11:41.000,2016-04-25T01:10:47.000
Homologacion por grupo de cursos,113753,1007,2016-04-25T15:40:26.000,2016-04-25T13:54:52.000
Recepcion de documentos,113753,26789,2016-04-25T14:45:21.000,2016-04-25T13:54:52.000
Validar solicitud / pre-homologacion,113753,19019,2016-04-25T13:54:53.000,2016-04-25T13:54:53.000
Avanzar recepcion documentos,113753,26789,2016-04-25T14:45:35.000,2016-04-25T13:55:07.000
Visto Bueno Cierre Proceso,113753,1007,2016-05-03T15:48:33.000,2016-05-03T14:51:56.000
Validacion final,113753,19019,2016-05-03T16:24:00.000,2016-05-03T16:24:00.000
Transferir Creditos,113753,1007,2016-05-13T15:29:36.000,2016-05-13T15:29:36.000
Transferir creditos homologables,113753,1007,2016-05-13T15:29:36.000,2016-05-13T15:29:36.000
Traer informacion estudiante - banner,113853,14126,2016-04-25T13:39:32.000,2016-04-25T13:39:32.000
Radicar Solicitud Homologacion,113853,14126,2016-04-25T13:39:52.000,2016-04-25T13:39:36.000
Validar solicitud,113853,6767,2016-04-25T15:26:53.000,2016-04-25T13:55:39.000
Homologacion por grupo de cursos,113853,6767,2016-05-11T19:38:15.000,2016-05-11T19:10:26.000
Traer informacion estudiante - banner,113854,19422,2016-04-25T14:13:12.000,2016-04-25T14:13:12.000
Radicar Solicitud Homologacion,113854,19422,2016-04-25T14:13:18.000,2016-04-25T14:13:16.000
Validar solicitud,113854,659,2016-04-25T14:18:21.000,2016-04-25T14:16:13.000
Revisar curso,113854,659,2016-04-25T16:24:54.000,2016-04-25T16:24:54.000
Homologacion por grupo de cursos,113854,1422,2016-04-25T16:33:15.000,2016-04-25T16:24:54.000
Evaluacion curso,113854,659,2016-04-25T16:29:52.000,2016-04-25T16:25:18.000
Validacion final,113854,659,2016-04-26T12:20:58.000,2016-04-26T12:20:58.000
Visto Bueno Cierre Proceso,113854,1422,2016-04-26T12:25:07.000,2016-04-26T12:21:21.000
Traer informacion estudiante - banner,113855,8188,2016-04-25T14:19:10.000,2016-04-25T14:19:10.000
Radicar Solicitud Homologacion,113855,8188,2016-04-25T15:50:50.000,2016-04-25T14:19:11.000
Validar solicitud,113855,1707,2016-05-11T20:02:37.000,2016-05-11T19:58:44.000
Homologacion por grupo de cursos,113855,15930,2016-05-12T14:53:14.000,2016-05-12T13:51:53.000
Traer informacion estudiante - banner,113953,22437,2016-04-25T18:38:25.000,2016-04-25T18:38:25.000
Radicar Solicitud Homologacion,113953,22437,2016-04-25T21:06:54.000,2016-04-25T18:38:26.000
Cancelar Solicitud,113953,677,2016-05-23T13:30:01.000,2016-05-23T13:28:48.000
Notificacion estudiante cancelacion soli,113953,677,2016-05-23T14:42:31.000,2016-05-23T14:42:31.000
Traer informacion estudiante - banner,114002,10176,2016-04-25T16:59:48.000,2016-04-25T16:59:48.000
Radicar Solicitud Homologacion,114002,10176,2016-04-25T16:59:49.000,2016-04-25T16:59:49.000
Validar solicitud,114002,22475,2016-04-25T17:06:52.000,2016-04-25T17:03:28.000
Homologacion por grupo de cursos,114002,22475,2016-04-25T22:42:03.000,2016-04-25T22:24:51.000
Revisar curso,114002,22475,2016-04-25T22:24:51.000,2016-04-25T22:24:51.000
Evaluacion curso,114002,22439,2016-04-25T22:42:20.000,2016-04-25T22:25:14.000
Validar solicitud / pre-homologacion,114002,22475,2016-04-28T13:31:22.000,2016-04-28T13:31:17.000
Traer informacion estudiante - banner,114003,11613,2016-04-25T17:04:06.000,2016-04-25T17:04:06.000
Homologacion por grupo de cursos,114152,4560,2016-05-01T18:41:47.000,2016-05-01T14:17:47.000
Traer informacion estudiante - banner,114153,26344,2016-04-26T01:54:32.000,2016-04-26T01:54:32.000
Radicar Solicitud Homologacion,114153,26344,2016-04-26T01:58:17.000,2016-04-26T01:54:34.000
Validar solicitud,114153,294,2016-04-26T16:48:15.000,2016-04-26T16:43:11.000
Homologacion por grupo de cursos,114153,7311,2016-04-27T15:32:28.000,2016-04-27T13:47:28.000
Traer informacion estudiante - banner,114351,11387,2016-04-26T16:06:32.000,2016-04-26T16:06:32.000
Radicar Solicitud Homologacion,114351,11387,2016-04-26T16:06:54.000,2016-04-26T16:06:38.000
Validar solicitud,114351,677,2016-04-26T17:26:08.000,2016-04-26T16:22:59.000
Homologacion por grupo de cursos,114351,677,2016-05-06T15:32:31.000,2016-05-06T15:32:30.000
Traer informacion estudiante - banner,114501,13559,2016-04-26T21:00:07.000,2016-04-26T21:00:07.000
Radicar Solicitud Homologacion,114501,13559,2016-04-26T21:02:13.000,2016-04-26T21:00:14.000
Cancelar Solicitud,114501,22404,2016-04-27T10:30:25.000,2016-04-27T10:21:58.000
Notificacion estudiante cancelacion soli,114501,22404,2016-04-28T13:27:17.000,2016-04-28T13:27:17.000
Traer informacion estudiante - banner,114502,2154,2016-04-26T22:01:23.000,2016-04-26T22:01:23.000
Radicar Solicitud Homologacion,114502,2154,2016-04-26T22:01:48.000,2016-04-26T22:01:26.000
Validar solicitud,114502,186,2016-04-26T23:40:16.000,2016-04-26T22:24:09.000
Homologacion por grupo de cursos,114502,26788,2016-05-11T16:35:27.000,2016-05-11T16:31:35.000
Traer informacion estudiante - banner,114503,2154,2016-04-26T22:26:24.000,2016-04-26T22:26:24.000
Radicar Solicitud Homologacion,114503,2154,2016-04-26T22:27:00.000,2016-04-26T22:26:27.000
Validar solicitud,114503,186,2016-04-27T00:19:15.000,2016-04-26T23:03:39.000
Homologacion por grupo de cursos,114503,186,2016-05-11T16:36:28.000,2016-05-11T16:36:15.000
Traer informacion estudiante - banner,114552,3815,2016-04-27T00:07:02.000,2016-04-27T00:07:02.000
Radicar Solicitud Homologacion,114552,3815,2016-04-27T01:23:03.000,2016-04-27T00:07:03.000
Cancelar Solicitud,114552,6694,2016-05-11T18:43:42.000,2016-05-11T18:39:42.000
Notificacion estudiante cancelacion soli,114552,6694,2016-05-12T12:27:53.000,2016-05-12T12:27:53.000
Traer informacion estudiante - banner,114751,6572,2016-04-27T10:07:28.000,2016-04-27T10:07:28.000
Radicar Solicitud Homologacion,114751,6572,2016-04-27T10:15:38.000,2016-04-27T10:07:38.000
Cancelar Solicitud,114751,6572,2016-04-28T12:49:42.000,2016-04-28T12:49:35.000
Notificacion estudiante cancelacion soli,114751,6572,2016-04-28T13:07:03.000,2016-04-28T13:07:03.000
Traer informacion estudiante - banner,114802,7143,2016-04-27T14:30:38.000,2016-04-27T14:30:38.000
Radicar Solicitud Homologacion,114802,7143,2016-04-27T14:47:19.000,2016-04-27T14:30:41.000
Validar solicitud,114802,19019,2016-04-29T15:26:36.000,2016-04-29T15:09:19.000
Homologacion por grupo de cursos,114802,1007,2016-05-03T21:08:28.000,2016-05-03T16:26:27.000
Homologacion por grupo de cursos,114804,4560,2016-04-27T16:05:51.000,2016-04-27T14:16:44.000
Traer informacion estudiante - banner,114804,8147,2016-04-27T15:32:07.000,2016-04-27T15:32:07.000
Radicar Solicitud Homologacion,114804,8147,2016-04-27T15:32:16.000,2016-04-27T15:32:09.000
Validar solicitud,114804,19019,2016-04-27T15:39:40.000,2016-04-27T15:39:40.000
Traer informacion estudiante - banner,114854,9489,2016-04-27T14:45:15.000,2016-04-27T14:45:15.000
Radicar Solicitud Homologacion,114854,9489,2016-04-27T15:24:59.000,2016-04-27T14:45:16.000
Cancelar Solicitud,114854,241,2016-05-04T15:06:48.000,2016-05-04T14:28:17.000
Notificacion estudiante cancelacion soli,114854,241,2016-05-12T00:42:35.000,2016-05-12T00:42:35.000
Traer informacion estudiante - banner,114901,8428,2016-04-27T16:57:21.000,2016-04-27T16:57:21.000
Radicar Solicitud Homologacion,114901,8428,2016-04-27T17:29:22.000,2016-04-27T16:57:24.000
Homologacion por grupo de cursos,114901,1007,2016-05-03T19:41:24.000,2016-05-03T14:57:54.000
Validar solicitud,114901,19019,2016-05-03T16:55:44.000,2016-05-03T16:55:44.000
Traer informacion estudiante - banner,114952,11342,2016-04-27T20:39:22.000,2016-04-27T20:39:22.000
Radicar Solicitud Homologacion,114952,11342,2016-04-27T20:39:34.000,2016-04-27T20:39:25.000
Validar solicitud,114952,18929,2016-04-27T21:27:15.000,2016-04-27T20:49:24.000
Homologacion por grupo de cursos,114952,957,2016-05-04T19:15:25.000,2016-05-04T16:41:03.000
Traer informacion estudiante - banner,114953,7862,2016-04-27T21:15:22.000,2016-04-27T21:15:22.000
Radicar Solicitud Homologacion,114953,7862,2016-04-27T21:15:41.000,2016-04-27T21:15:23.000
Validar solicitud,114953,1707,2016-04-27T21:39:00.000,2016-04-27T21:33:34.000
Homologacion por grupo de cursos,114953,15930,2016-04-28T22:57:59.000,2016-04-28T17:47:11.000
Traer informacion estudiante - banner,114955,7862,2016-04-27T21:36:50.000,2016-04-27T21:36:50.000
Radicar Solicitud Homologacion,114955,7862,2016-04-27T21:36:54.000,2016-04-27T21:36:51.000
Validar solicitud,114955,1707,2016-04-27T21:45:21.000,2016-04-27T21:40:02.000
Homologacion por grupo de cursos,114955,15930,2016-04-28T21:27:56.000,2016-04-28T17:47:56.000
Traer informacion estudiante - banner,115001,12935,2016-04-27T18:47:16.000,2016-04-27T18:47:16.000
Radicar Solicitud Homologacion,115001,12935,2016-04-27T18:47:54.000,2016-04-27T18:47:20.000
Validar solicitud,115001,18929,2016-04-27T20:13:44.000,2016-04-27T19:34:37.000
Homologacion por grupo de cursos,115001,957,2016-05-04T19:16:47.000,2016-05-04T16:42:27.000
Traer informacion estudiante - banner,115002,10280,2016-04-27T18:58:04.000,2016-04-27T18:58:04.000
Radicar Solicitud Homologacion,115002,10280,2016-04-27T18:58:18.000,2016-04-27T18:58:05.000
Cancelar Solicitud,115002,10280,2016-04-27T19:14:16.000,2016-04-27T19:13:53.000
Notificacion estudiante cancelacion soli,115002,10280,2016-04-27T19:36:56.000,2016-04-27T19:36:56.000
Traer informacion estudiante - banner,115003,10280,2016-04-27T19:15:41.000,2016-04-27T19:15:41.000
Radicar Solicitud Homologacion,115003,10280,2016-04-27T19:15:47.000,2016-04-27T19:15:43.000
Validar solicitud,115003,18929,2016-04-27T19:59:48.000,2016-04-27T19:20:19.000
Homologacion por grupo de cursos,115003,18929,2016-05-04T17:53:48.000,2016-05-04T16:49:38.000
Traer informacion estudiante - banner,115004,10280,2016-04-27T19:22:20.000,2016-04-27T19:22:20.000
Radicar Solicitud Homologacion,115004,10280,2016-04-27T19:22:33.000,2016-04-27T19:22:22.000
Validar solicitud,115004,18929,2016-04-27T20:13:06.000,2016-04-27T19:33:49.000
Homologacion por grupo de cursos,115004,957,2016-05-04T19:28:06.000,2016-05-04T16:51:21.000
Traer informacion estudiante - banner,115005,12935,2016-04-27T19:29:23.000,2016-04-27T19:29:23.000
Radicar Solicitud Homologacion,115005,12935,2016-04-27T19:29:28.000,2016-04-27T19:29:24.000
Validar solicitud,115005,18929,2016-04-27T20:13:10.000,2016-04-27T19:33:51.000
Homologacion por grupo de cursos,115005,957,2016-05-04T18:17:03.000,2016-05-04T16:52:56.000
Traer informacion estudiante - banner,115006,12935,2016-04-27T19:35:50.000,2016-04-27T19:35:50.000
Radicar Solicitud Homologacion,115006,12935,2016-04-27T19:35:55.000,2016-04-27T19:35:51.000
Cancelar Solicitud,115006,18929,2016-04-27T21:23:42.000,2016-04-27T19:40:23.000
Notificacion estudiante cancelacion soli,115006,18929,2016-05-17T17:47:07.000,2016-05-17T17:47:07.000
Traer informacion estudiante - banner,115054,8688,2016-04-27T23:31:22.000,2016-04-27T23:31:22.000
Radicar Solicitud Homologacion,115054,8688,2016-04-27T23:31:23.000,2016-04-27T23:31:23.000
Cancelar Solicitud,115054,19019,2016-04-27T23:39:26.000,2016-04-27T23:35:49.000
Notificacion estudiante cancelacion soli,115054,19019,2016-04-28T16:37:51.000,2016-04-28T16:37:51.000
Traer informacion estudiante - banner,115055,8688,2016-04-27T23:36:04.000,2016-04-27T23:36:04.000
Radicar Solicitud Homologacion,115055,8688,2016-04-27T23:36:06.000,2016-04-27T23:36:06.000
Cancelar Solicitud,115055,19019,2016-04-27T23:41:55.000,2016-04-27T23:40:05.000
Radicar Solicitud Homologacion,115306,4708,2016-04-28T15:36:56.000,2016-04-28T15:36:39.000
Cancelar Solicitud,115306,9184,2016-04-28T19:07:33.000,2016-04-28T15:54:28.000
Notificacion estudiante cancelacion soli,115306,9184,2016-06-03T17:00:34.000,2016-06-03T17:00:34.000
Traer informacion estudiante - banner,115307,8032,2016-04-28T15:37:46.000,2016-04-28T15:37:46.000
Radicar Solicitud Homologacion,115307,8032,2016-04-28T15:37:53.000,2016-04-28T15:37:47.000
Validar solicitud,115307,22404,2016-04-28T16:32:02.000,2016-04-28T15:44:25.000
Homologacion por grupo de cursos,115307,22404,2016-05-06T16:04:54.000,2016-05-06T15:22:10.000
Traer informacion estudiante - banner,115308,7819,2016-04-28T16:22:47.000,2016-04-28T16:22:47.000
Radicar Solicitud Homologacion,115308,7819,2016-04-28T16:23:04.000,2016-04-28T16:22:51.000
Validar solicitud,115308,920,2016-04-28T17:44:26.000,2016-04-28T16:36:03.000
Homologacion por grupo de cursos,115308,26758,2016-05-12T14:47:36.000,2016-05-12T12:03:30.000
Traer informacion estudiante - banner,115309,12532,2016-04-28T16:25:06.000,2016-04-28T16:25:06.000
Radicar Solicitud Homologacion,115309,12532,2016-04-28T16:25:18.000,2016-04-28T16:25:10.000
Validar solicitud,115309,19019,2016-04-28T16:33:27.000,2016-04-28T16:33:27.000
Cancelar Solicitud,115309,12532,2016-04-28T16:33:54.000,2016-04-28T16:33:28.000
Notificacion estudiante cancelacion soli,115309,12532,2016-04-28T17:03:37.000,2016-04-28T17:03:37.000
Traer informacion estudiante - banner,115310,12532,2016-04-28T16:33:46.000,2016-04-28T16:33:46.000
Radicar Solicitud Homologacion,115310,12532,2016-04-28T16:33:49.000,2016-04-28T16:33:47.000
Cancelar Solicitud,115310,12532,2016-04-28T16:36:37.000,2016-04-28T16:36:14.000
Validar solicitud,115310,19019,2016-04-28T16:36:14.000,2016-04-28T16:36:14.000
Notificacion estudiante cancelacion soli,115310,12532,2016-04-28T17:04:17.000,2016-04-28T17:04:17.000
Traer informacion estudiante - banner,115311,12532,2016-04-28T17:06:51.000,2016-04-28T17:06:51.000
Radicar Solicitud Homologacion,115311,12532,2016-04-28T17:06:54.000,2016-04-28T17:06:54.000
Cancelar Solicitud,115311,19019,2016-04-28T17:12:29.000,2016-04-28T17:12:29.000
Notificacion estudiante cancelacion soli,115311,19019,2016-04-28T17:27:10.000,2016-04-28T17:27:10.000
Traer informacion estudiante - banner,115312,12532,2016-04-28T17:12:39.000,2016-04-28T17:12:39.000
Radicar Solicitud Homologacion,115312,12532,2016-04-28T17:12:40.000,2016-04-28T17:12:40.000
Cancelar Solicitud,115312,19019,2016-04-28T17:15:56.000,2016-04-28T17:15:56.000
Notificacion estudiante cancelacion soli,115312,19019,2016-04-28T17:28:19.000,2016-04-28T17:28:19.000
Homologacion por grupo de cursos,115401,1343,2016-04-28T21:55:05.000,2016-04-28T19:56:51.000
Traer informacion estudiante - banner,115401,4867,2016-04-28T20:30:07.000,2016-04-28T20:30:07.000
Radicar Solicitud Homologacion,115401,4867,2016-04-28T20:30:38.000,2016-04-28T20:30:13.000
